Date,Risk-On_Probability,Late-Cycle_Probability,Transitional_Probability,Risk-Off_Probability,Post-Shock_Probability,Dominant_Regime,Confidence,Entropy,Uncertainty,Conformal_90_Set,CalibratedProxy_Risk-On_Probability,CalibratedProxy_Late-Cycle_Probability,CalibratedProxy_Transitional_Probability,CalibratedProxy_Risk-Off_Probability,CalibratedProxy_Post-Shock_Probability,CalibratedProxy_Dominant_Regime,CalibratedProxy_Confidence,CalibratedProxy_Entropy,CalibratedProxy_90_Set
2020-07-24,1.872508421257448e-99,1.514180043857422e-75,7.940706430899177e-165,1.0,2.6171612894818597e-157,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-27,1.5704937527109588e-105,5.0738491912832864e-92,4.882572812211214e-190,1.0,2.1640322858942604e-181,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-28,9.920475962687828e-131,3.3382515916398634e-86,4.456670985433642e-192,1.0,3.868826557340012e-174,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-29,4.709061558983399e-117,5.510891366132744e-81,4.489291144259516e-174,1.0,3.101269103663965e-159,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-30,5.587324746262669e-125,3.1655796604187327e-79,1.477556805359552e-168,1.0,1.9623708157296843e-152,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-07-31,2.4166805877558402e-123,3.431656508479314e-76,5.049817996990974e-161,1.0,2.658159850750491e-144,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-08-03,1.1829556609277058e-119,6.707645649907191e-78,4.624398772052832e-164,1.0,4.475363671466977e-148,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-08-04,8.26026704145105e-118,2.748999719433768e-75,8.657454092885758e-161,1.0,1.852875380666897e-147,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-08-05,2.922536943308028e-117,1.152116638645216e-71,4.492707325352922e-154,1.0,3.27014496359634e-141,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-08-06,7.967966157997124e-110,3.452909135885969e-71,2.737309463120518e-155,1.0,1.4334642470180016e-145,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-08-07,0.0,1.3071148685895364e-134,0.0,1.0,3.3650552588282804e-264,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-08-10,1.1725198981880708e-120,8.798859771109615e-71,3.2661215290591275e-151,1.0,4.938336872503736e-139,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-08-11,3.5529239847230994e-112,6.37495948026513e-72,1.5807053845429714e-155,1.0,1.7283655449208984e-145,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-08-12,7.651522327411445e-118,6.618799773391195e-69,3.868662581653805e-149,1.0,1.3381599493740054e-137,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-08-13,1.5144463619339014e-127,3.9252570528714717e-69,4.216384156645308e-145,1.0,1.796318336064344e-130,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-08-14,1.7957383374365888e-116,2.2564604720517405e-72,4.759263626982119e-153,1.0,1.390361693508357e-140,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-08-17,8.005228900046079e-113,2.4426352515159133e-68,1.435636338527842e-146,1.0,1.4977806307595478e-133,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-08-18,4.24851748922868e-158,3.8065638757132144e-79,4.172220990063378e-162,1.0,3.71972210430702e-138,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
